"SourcePath","Category","Classification","RelativePath","SizeBytes","Sha256","Width","Height"
"正式-交互占位/商店/保存配置按钮.png","InventoryShop","Elements","Elements/InventoryShop/保存配置按钮.png","3284","9a476793bc3a67a07cc2ec03e58288d9a39f6bfc1f1b30b5e2fa39bd686686cc","337","83"
"正式-交互占位/商店/当前属性面板底板.png","InventoryShop","Elements","Elements/InventoryShop/当前属性面板底板.png","1951","734f1eca2e0db838752e98a6f10ed8218d42defdfa16419842642529c88557b7","288","532"
"正式-交互占位/商店/技能文字介绍浮框.png","InventoryShop","Elements","Elements/InventoryShop/技能文字介绍浮框.png","563","d453f1aa2d53317c70a5ca72cd682afac88270e05aae32fc440e2d2032295fd2","230","134"
"正式-交互占位/商店/卡牌icon.png","InventoryShop","Elements","Elements/InventoryShop/卡牌icon.png","2910","252e16d835d8cf584f70f618898c2195929da5458d64d3928e25b8a54bfa4183","141","173"
"正式-交互占位/商店/卡片底板.png","InventoryShop","Elements","Elements/InventoryShop/卡片底板.png","912","d36e869303fc188ddab49e888759ec018f9897573b88b1f06261050b4c6b2e24","200","292"
"正式-交互占位/商店/离开商店.png","InventoryShop","Elements","Elements/InventoryShop/离开商店.png","3273","5996a5a9565f2425934e17ff7b5dcdf8b90f5df9afbe172fb763ba44a086c350","350","81"
"正式-交互占位/商店/面具人立绘.png","InventoryShop","Elements","Elements/InventoryShop/面具人立绘.png","229292","260501cbedac32240221a923cae36717289401ef24ed6d1a69a5637cda55b91b","306","679"
"正式-交互占位/商店/配件icon.png","InventoryShop","Elements","Elements/InventoryShop/配件icon.png","6566","61b9d40c0d1f09c4dbc223cc7d698c6e936f4e38554de53321f749d3e074feca","127","124"
"正式-交互占位/商店/商店按钮-购买.png","InventoryShop","Elements","Elements/InventoryShop/商店按钮-购买.png","2163","0a5dfa7ce482343a2c9b954e0dad4553b05144d3c328a9c122c9116c32dec7a2","156","44"
"正式-交互占位/商店/商店按钮-刷新.png","InventoryShop","Elements","Elements/InventoryShop/商店按钮-刷新.png","2038","499f20da96ef7780e5a8ad58a2083a5bc0b575f13473d4fc7759999b412d145d","156","44"
